,competition,Matchday,Date,Venue,Opponent,Result,Pos.,Minute,At score,Type of goal,Goal assist
0,LaLiga,2,9/13/08,H,Racing,1:1,RW,70',1:0,Penalty, 
1,LaLiga,3,9/21/08,A,Sporting Gijón,1:6,RW,85',1:5,Left-footed shot,Andrés Iniesta
2,LaLiga,3,9/21/08,A,Sporting Gijón,1:6,RW,89',1:6,Header,Xavi
3,LaLiga,5,9/27/08,A,Espanyol,1:2,RW,90',1:2,Penalty, 
4,Champions League,Group Stage,10/1/08,A,Shakhtar D.,1:2,RW,87',1:1,Right-footed shot,Bojan Krkic
5,Champions League,Group Stage,10/1/08,A,Shakhtar D.,1:2,RW,90'+2,1:2,Left-footed shot,Xavi
6,LaLiga,6,10/4/08,H,Atlético Madrid,6:1,RW,8',3:0,Direct free kick, 
7,Champions League,Group Stage,10/22/08,A,FC Basel,0:5,CF,4',0:1,Left-footed shot,Dani Alves
8,LaLiga,9,11/1/08,A,Málaga CF,1:4,RW,19',1:2,Left-footed shot, 
9,Champions League,Group Stage,11/4/08,H,FC Basel,1:1,RW,61',1:0,Left-footed shot,Thierry Henry
10,Copa del Rey,Fifth Round,11/12/08,H,Benidorm CF,1:0,RW,86',1:0,Penalty rebound, 
11,LaLiga,11,11/16/08,A,Recr. Huelva,0:2,RW,51',0:1,Left-footed shot,Xavi
12,Champions League,Group Stage,11/26/08,A,Sporting CP,2:5,RW,49',0:3,Left-footed shot,Dani Alves
13,LaLiga,13,11/29/08,A,Sevilla FC,0:3,RW,78',0:2,Left-footed shot,Xavi
14,LaLiga,13,11/29/08,A,Sevilla FC,0:3,RW,90'+2,0:3,Left-footed shot,Aleksandr Hleb
15,LaLiga,15,12/13/08,H,Real Madrid,2:0,RW,89',2:0,Left-footed shot,Thierry Henry
16,Copa del Rey,Round of 16,1/6/09,A,Atlético Madrid,1:3,RW,11',0:1,Left-footed shot,Dani Alves
17,Copa del Rey,Round of 16,1/6/09,A,Atlético Madrid,1:3,RW,57',0:2,Penalty, 
18,Copa del Rey,Round of 16,1/6/09,A,Atlético Madrid,1:3,RW,79',1:3,Right-footed shot,Andrés Iniesta
19,LaLiga,18,1/11/09,A,CA Osasuna,2:3,RW,84',2:3,Left-footed shot,Dani Alves
20,LaLiga,19,1/17/09,H,Dep. La Coruña,5:0,RW,21',1:0,Left-footed shot, 
21,LaLiga,20,1/24/09,H,CD Numancia,4:1,RW,49',1:0,Left-footed shot,Dani Alves
22,LaLiga,20,1/24/09,H,CD Numancia,4:1,RW,76',4:1,Right-footed shot, 
23,LaLiga,21,2/1/09,A,Racing,1:2,RW,65',1:1,Right-footed shot,Xavi
24,LaLiga,21,2/1/09,A,Racing,1:2,RW,81',1:2,Right-footed shot, 
25,LaLiga,25,3/1/09,A,Atlético Madrid,4:3,RW,30',0:2,Left-footed shot, 
26,Copa del Rey,Semi-Finals,3/4/09,A,RCD Mallorca,1:1,RW,81',1:1,Left-footed shot,Gerard Piqué
27,LaLiga,26,3/7/09,H,Athletic,2:0,RW,31',2:0,Penalty, 
28,Champions League,last 16,3/11/09,H,Olympique Lyon,5:2,RW,40',3:0,Left-footed shot,Samuel Eto'o
29,LaLiga,28,3/22/09,H,Málaga CF,6:0,RW,26',2:0,Right-footed shot,Xavi
30,Champions League,Quarter-Finals,4/8/09,H,Bayern Munich,4:0,RW,9',1:0,Left-footed shot,Samuel Eto'o
31,Champions League,Quarter-Finals,4/8/09,H,Bayern Munich,4:0,RW,38',3:0,Right-footed shot,Thierry Henry
32,LaLiga,31,4/18/09,A,Getafe,0:1,RW,18',0:1,Left-footed shot,Xavi
33,LaLiga,33,4/25/09,A,Valencia,2:2,RW,23',0:1,Left-footed shot,Andrés Iniesta
34,LaLiga,34,5/2/09,A,Real Madrid,2:6,CF,35',1:3,Left-footed shot,Xavi
35,LaLiga,34,5/2/09,A,Real Madrid,2:6,CF,75',2:5,Left-footed shot,Xavi
36,Copa del Rey,Final,5/13/09,H,Athletic,4:1,RW,55',2:1,Left-footed shot,Samuel Eto'o
37,Champions League,Final,5/27/09,H,Man Utd,2:0,CF,70',2:0,Header,Xavi
